index,SMILES
8068,N#CN(c1ccc2c(c1)OCO2)c1nc2ccccc2s1
8080,BrCc1ccc(Nn2cnnc2)cc1
8104,BrCc1cccc(Nn2cnnc2)c1
8110,c1ccc(N(c2nc3ccccc3s2)n2cnnc2)nc1
8113,O=C(Nc1sc2ccccc2c1Cl)NC(CO)(CO)CNn1cnnc1
8119,N#Cc1c([N+](=O)[O-])ccc(N2CCS(=O)(=O)CC2)c1Cl
8131,N#CN(c1nc2ccccc2s1)S(=O)(=O)c1ccccc1
8134,CCn1c2ccccc2c2cc(CN(c3cccc(OC)c3)c3ccncc3Nn3cnnc3)ccc21
8152,Nc1c(Cl)cccc1Nn1cnnc1
8167,N#CNc1ccc(CNn2cnnc2)cc1[N+](=O)[O-]
8170,O=S1(=O)CCN(c2cc3ccccc3o2)CC1
8179,O=C(NCc1ccccc1)Nc1ccncc1Nn1cnnc1
8191,BrCc1cn(-c2ccc(Nn3cnnc3)nc2)nn1
8194,Nc1cc(N(c2cnc3ccccc3c2)n2cnnc2)ncn1
8197,Cc1noc(C)c1Nn1cnnc1
8200,NC(CO)(CO)CNn1cnnc1
8203,CC(C)(C)OC(=O)n1cccc1N(Cc1ccccc1)C(=O)Nc1ccc(Nn2cnnc2)cc1
8206,C(=Cc1cccnc1NCc1cccs1)c1ccccc1
8212,COc1cccc(OC)c1NCc1cncs1
8218,N#Cc1ccccc1Nn1cnnc1
8227,Nc1ccc(Nn2cnnc2)nc1
8233,Nc1ccncc1N(c1cnc2ccccc2c1)n1cnnc1
8248,Fc1ccc(Nn2cnnc2)c(CNNc2ccccc2)c1
8254,N#Cc1ccc(Nn2cnnc2)cc1
8257,Cc1noc(C)c1N(C#N)S(=O)(=O)c1cccs1
8269,c1ccc(-c2ccc(Nn3cnnc3)cc2)cc1
8296,O=[N+]([O-])c1c(O)cccc1Nn1cnnc1
8305,OCCCc1cn(-c2c(Cl)cccc2Nn2cnnc2)nn1
8308,c1ccc2sc(N(c3ccc4c(c3)OCO4)n3cnnc3)nc2c1
8311,Cc1ccc(S(=O)(=O)Nc2ccc(Nn3cnnc3)nc2)cc1
8317,N#Cc1cnc(Cl)cc1N(c1ccsc1)S(=O)(=O)C(F)(F)F
8320,NCc1ccc(N2CCCC2CO)nc1
8326,COc1ccc(Nc2ccc(Cl)c(OC)c2)cc1
8359,N#Cc1cnc(Cl)cc1Nn1c(-c2ccncc2)n[nH]c1=S
8371,Cc1nc(N)nc(Nc2ccc(CNc3ccsc3)cn2)n1
8374,Cc1cc(C)c(NCc2ccc(C#N)cc2)c(C)c1
8413,Cc1cc(C)c(Nc2ccc(CN)cn2)c(C)c1
8488,COc1ccc2nc(Nc3ccc(N4CCS(=O)(=O)CC4)cc3OC)sc2c1
8503,COc1ccc(CN(C)c2ccc(N3CCS(=O)(=O)CC3)cc2OC)cc1
8506,Cc1cccc(CNCc2ccc(Cl)nc2)c1
8518,S=c1[nH]nc(-c2ccncc2)n1Nc1ccc(CNc2ccsc2)cn1
8527,N#Cc1cnc(Nc2nc3ccc(Br)cc3s2)cc1N1CCS(=O)(=O)CC1
8551,Cc1cc(C)c(N(c2ccc(CN)cn2)S(=O)(=O)c2cccs2)c(C)c1
8557,COc1cc(N2CCS(=O)(=O)CC2)ccc1N(c1cc(N)ncn1)c1nc2ccccc2s1
